index;x;y;z
429;-0.118042;-0.051102;0.048111
430;0.201111;0.048111;-0.249908
431;0.026154;-0.146835;0.005066
432;-0.272568;-0.215042;0.033600
433;-0.060455;-0.105331;0.072784
434;0.027649;0.086166;0.003387
435;0.181641;0.056168;-0.069305
436;-0.076767;0.049805;-0.000427
437;0.016998;0.084259;-0.011292
438;0.176529;0.077652;-0.351959
439;-0.471085;-0.138443;-0.317963
440;-0.727768;-1.014435;-0.544083
441;-1.310043;-2.487381;-0.204285
442;-2.019730;-3.083435;-0.994507
443;-2.483871;-5.311890;-0.724808
444;-4.852982;-7.728745;0.560150
445;-3.374924;-6.287170;1.749863
446;-2.609406;-3.954636;1.032166
447;-0.397552;-1.603577;0.262283
448;-0.020096;-0.423187;0.291397
449;-0.873093;-0.157288;-0.018661
450;0.291153;0.383133;-0.663254
451;0.719543;0.818298;-0.474609
452;-0.629166;-0.306747;0.376389
453;-0.577164;-0.439545;0.193207
454;0.252365;0.129089;-0.051819
455;0.435043;0.118484;-0.157516
456;0.012558;-0.071121;0.086121
457;-0.120972;-0.160568;-0.003769
458;-0.032700;-0.099533;0.015350
459;-0.006699;-0.020020;0.014053
460;-0.012848;-0.027451;-0.024094
461;-0.031769;0.030624;-0.043884
462;-0.020081;-0.009369;0.011093
463;0.002380;-0.055954;0.030304
464;-0.013672;0.048004;-0.000671
465;0.068115;0.056213;0.058319
466;-0.085999;0.126236;0.122849
467;0.015656;0.152527;-0.013382
468;0.029419;0.057281;0.037613
469;0.039474;0.027222;-0.058762
470;0.233505;-0.014023;-0.238876
471;-0.046478;-0.186081;0.027542
472;-0.006180;-0.146149;0.019974
473;-0.006256;0.028824;0.006195
474;-0.147461;-0.170639;-0.072052
475;-0.149170;-0.098923;-0.060730
476;-0.053055;-0.280151;-0.467499
477;-0.521744;-0.230377;-0.144089
478;-0.822968;-0.795410;-0.083664
479;-1.623901;-2.952835;-0.099487
480;-1.582977;-3.562622;0.108978
481;-1.691223;-6.548340;0.999146
482;-3.319138;-7.620361;1.295151
483;-2.484375;-6.155518;1.533569
484;-1.578751;-3.270355;1.307465
485;-0.412445;-1.384140;0.791138
486;-0.127853;-0.269058;-0.245987
487;0.186691;-0.035461;-0.417358
488;0.180008;0.365845;-0.721008
489;-0.541000;-0.383560;0.220673
490;-0.651413;-0.434006;0.214249
491;-0.151291;0.094177;0.099777
492;0.336578;-0.040344;-0.152695
493;0.236572;0.029297;-0.117859
494;0.218933;0.137527;-0.210983
495;-0.015366;0.495651;-0.477493
496;0.448395;0.018311;0.387741
497;0.381073;-0.192429;0.166779
498;-0.001633;0.396469;0.251984
499;-0.161057;-0.296387;-0.067673
500;-0.488464;-0.373337;0.163086
501;-0.131012;-0.635178;0.153976
502;-0.088501;-0.601608;0.193375
503;-0.092361;-0.154709;0.013138
504;0.235245;0.206680;0.092880
505;0.373688;0.223022;0.004379
506;-0.361664;0.053009;0.074585
507;-0.429413;-0.167694;-0.079712
508;0.066696;-0.097931;-0.074966
509;-0.180466;0.025864;0.011002
510;-0.017136;0.219879;0.100113
511;0.093750;0.267029;0.031815
512;0.174774;0.153412;0.108322
513;0.005722;-0.198700;-0.097992
514;-0.245087;-0.345444;-0.124542
515;-0.559113;-1.257782;0.226181
516;-0.966919;-2.619247;0.274643
517;-1.906082;-4.416275;0.738388
518;-2.668991;-6.656693;1.147217
519;-3.218735;-6.410904;1.279572
520;-2.359528;-3.969818;1.019882
521;-1.135925;-2.993225;0.851364
522;-0.405655;-1.484833;0.328598
523;-0.102234;-0.513351;-0.129303
524;-0.083923;-0.085449;-0.112869
525;-0.121140;0.209305;-0.296524
526;0.098923;0.438065;-0.225937
527;0.252213;0.196503;-0.040924
528;0.016296;-0.165512;0.077713
529;-0.077133;-0.182922;0.094589
530;-0.001480;-0.100525;-0.114395
531;-0.031097;-0.118988;-0.034363
532;-0.197205;-0.202789;0.134399
533;-0.083572;-0.301086;0.183304
534;-0.031693;-0.261337;0.181366
535;-0.058640;-0.113388;0.115524
536;0.002167;0.051010;0.043945
537;0.080429;0.036545;0.029922
538;-0.019653;-0.065994;0.066986
539;-0.065430;-0.101822;0.086075
540;-0.009064;-0.074799;0.101776
541;-0.027008;-0.027237;0.090729
542;-0.030045;0.140701;-0.129059
543;-0.012741;0.049698;-0.252258
544;-0.019577;-0.016129;-0.205643
545;-0.323486;-0.170868;-0.176331
546;-0.120102;-0.916122;-0.008316
547;-0.247299;-1.921417;-0.059448
548;-1.769333;-3.405426;0.452011
549;-1.747253;-4.913376;0.168976
550;-2.415771;-5.236633;0.662796
551;-1.945389;-4.432480;0.613602
552;-1.369553;-2.989502;0.599396
553;-0.722641;-1.976059;0.104156
554;-0.441116;-1.102036;-0.027435
555;-0.385925;-0.513840;-0.053635
556;-0.062149;-0.012024;-0.027557
557;0.133865;-0.055588;-0.044647
558;0.063736;0.134415;-0.053955
559;-0.152390;0.095932;-0.129669
560;-0.023071;-0.095901;-0.025269
561;-0.012894;-0.126389;0.014908
562;-0.027802;-0.087341;-0.001846
563;0.000244;-0.049072;0.042023
564;0.014832;-0.008041;0.012115
565;0.009064;0.020981;-0.037735
566;0.012390;0.034637;0.027405
567;0.037201;0.034012;0.036102
568;0.037323;0.018661;-0.004181
569;-0.025818;-0.015961;0.047485
570;-0.005157;0.002060;-0.099991
571;0.076492;0.035400;-0.076324
572;0.057816;-0.001465;0.014847
573;-0.054688;-0.045547;0.098846
574;-0.121399;-0.082016;0.155426
575;-0.243958;-0.413147;0.217499
576;-0.878387;-0.981033;0.481262
577;-1.986664;-2.498260;0.513214
578;-1.683884;-3.437454;0.572510
579;-2.372665;-4.723999;0.754639
580;-2.429672;-4.518829;0.663406
581;-1.790588;-3.527161;0.612259
582;-1.257935;-2.339981;0.418152
583;-0.798660;-1.390640;0.011658
584;-0.265442;-0.639359;0.075119
585;-0.013184;-0.143219;-0.066788
586;0.073318;0.165741;-0.041275
587;0.216766;0.355515;-0.131393
588;0.146088;0.196854;-0.120560
589;0.033264;0.034195;-0.007217
590;-0.085861;-0.056152;0.068741
591;0.012146;-0.015045;-0.018570
592;0.065079;0.003876;-0.014542
593;-0.001114;0.041382;0.037888
594;-0.078156;-0.021088;0.134018
595;-0.020050;-0.081192;0.000061
596;-0.022461;-0.029083;-0.049393
597;0.072952;-0.035034;-0.051605
598;-0.013626;0.078049;0.075211
599;-0.042877;0.098938;0.062317
600;0.026520;-0.037415;0.084290
601;0.091858;-0.079102;-0.054413
602;-0.057327;-0.050049;-0.100845
603;-0.163010;-0.141769;0.096313
604;-0.120529;-0.066620;-0.107132
605;-0.006546;-0.069031;-0.060654
606;-0.027695;-0.133286;-0.087540
607;0.084991;-0.360931;-0.129501
608;-0.112320;-0.419556;0.103546
609;-0.410202;-0.982254;-0.032349
610;-0.477539;-3.216232;-0.065933
611;-5.033508;-5.145294;0.208435
612;-3.506302;-7.642776;1.733658
613;-3.838257;-6.656219;0.727753
614;-2.400772;-3.528137;0.890930
615;-1.040787;-2.347961;0.584930
616;-0.654175;-1.104919;0.335953
617;-0.205750;-0.678558;-0.114777
618;0.355438;0.007248;-0.181473
619;0.554260;0.180954;-0.125244
620;0.341049;0.535812;-0.443726
621;0.223480;0.533707;0.149536
622;-0.476486;0.200729;0.091599
623;-0.282227;-0.082489;0.069702
624;-0.099228;-0.068924;0.079376
625;0.017029;-0.008453;0.085770
626;0.033783;-0.030807;0.092178
627;0.095612;-0.035629;0.035904
628;0.135895;0.009735;0.001892
629;0.002457;-0.007721;0.048172
630;-0.145874;-0.059738;0.078674
631;-0.176361;-0.014160;0.109222
632;-0.014145;-0.022476;0.001816
633;0.258072;0.092377;-0.322113
634;-0.187149;0.118790;-1.235077
635;0.459183;0.326767;0.209625
636;-0.239746;0.178848;-0.906021
637;-0.044693;-0.217285;0.564667
638;-0.010422;-0.139404;0.097900
639;0.070465;-0.065903;0.025864
640;-0.018906;-0.209076;0.207138
641;-0.183990;-0.695953;0.060974
642;-0.704285;-1.836502;0.618866
643;-2.226120;-3.208817;0.846115
644;-2.643066;-5.002014;1.055298
645;-3.031296;-5.845108;1.075760
646;-2.380630;-4.981659;1.544983
647;-1.607224;-2.562775;0.952957
648;-0.652802;-1.408173;0.439972
649;-0.193649;-0.678253;0.110992
650;0.000061;-0.264908;0.042892
651;0.071655;-0.008774;0.014648
652;0.142212;0.053375;-0.002762
653;0.075760;0.137527;-0.008286
654;-0.109253;0.044769;0.065018
655;-0.171906;0.030838;0.156631
656;-0.103989;0.144394;0.113419
657;-0.017975;0.005783;0.065491
658;0.017059;-0.020020;-0.034149
659;0.039474;0.000565;-0.012863
