index;x;y;z
339;0.069366;0.108475;0.033661
340;0.011841;-0.026321;0.047028
341;0.045975;-0.101608;0.066544
342;0.044098;0.040359;0.052811
343;-0.007690;0.061203;-0.022354
344;0.003174;0.053772;0.031677
345;0.082764;0.057800;-0.031387
346;0.135651;0.060501;-0.061752
347;0.105316;-0.046783;-0.027512
348;0.067200;-0.096771;0.015625
349;-0.054276;-0.047623;0.051300
350;-0.059204;0.104187;0.068359
351;-0.118851;0.067123;0.054520
352;-0.091309;0.078323;0.034027
353;-0.018311;0.122559;0.026199
354;0.006287;0.056396;0.099579
355;-0.048294;0.066742;0.039902
356;0.011139;0.152817;0.049911
357;-0.019318;0.293777;0.086151
358;-0.037262;0.267349;-0.009018
359;0.051376;0.353760;0.058105
360;-0.067841;0.277603;-0.190247
361;-0.016922;-0.423874;-0.311005
362;0.006973;-1.166733;-0.842514
363;0.266541;-2.520538;-0.734894
364;0.069366;-2.885178;-0.776688
365;0.895218;-2.742523;-1.153732
366;0.806091;-4.523621;-0.846497
367;-0.115128;-7.127106;-0.956085
368;-0.190781;-6.635040;0.203659
369;-1.217209;-5.732727;0.560410
370;-0.537766;-3.317764;0.583817
371;0.209534;-2.149796;0.118851
372;0.150253;-1.156189;0.148682
373;-0.003433;-0.580872;-0.174744
374;0.148865;0.338120;-0.330887
375;-0.067245;0.399475;-0.337250
376;-0.244232;-0.231857;0.197632
377;-0.157364;-0.399887;0.051102
378;0.084274;0.040863;-0.026627
379;0.102753;0.218796;-0.117828
380;0.151520;0.056854;0.095276
381;0.107971;-0.012329;0.142487
382;0.017670;-0.139832;-0.017014
383;0.134857;-0.056183;-0.003296
384;-0.022964;0.034698;0.059341
385;-0.038467;-0.089905;0.093445
386;-0.014587;0.005692;0.034393
387;-0.090332;-0.012833;-0.064560
388;-0.054153;-0.054459;0.012634
389;-0.016541;0.035416;0.025467
390;-0.060593;0.007172;-0.024979
391;-0.040298;0.008789;0.051392
392;-0.016098;0.036133;0.040207
393;-0.055573;0.002274;0.036880
394;-0.028915;-0.042923;-0.043182
395;0.018494;0.006882;-0.065475
396;-0.012238;0.030197;-0.008835
397;0.012192;-0.030045;0.011841
398;0.033234;0.062256;-0.124649
399;0.160980;0.170029;0.012817
400;0.073151;0.192093;-0.047577
401;-0.082947;-0.023178;0.136368
402;0.040314;-0.182526;0.231705
403;-0.020187;-1.249344;0.659729
404;-0.616287;-3.893524;0.589447
405;-0.496841;-3.956238;0.251190
406;-0.368896;-5.079208;0.394058
407;-0.370422;-6.577011;-0.161667
408;-0.440475;-6.165237;0.088135
409;-0.572083;-4.746994;0.233795
410;-0.287979;-3.201279;-0.029526
411;-0.102936;-2.127060;-0.176575
412;0.082504;-1.111694;0.150620
413;-0.079239;-0.452530;0.011154
414;-0.004318;-0.131256;-0.158478
415;-0.001404;0.156219;-0.148590
416;0.007751;0.201065;0.038712
417;-0.130554;-0.194122;0.147247
418;-0.182968;-0.307266;-0.003967
419;0.024017;-0.024109;-0.035782
420;0.150192;0.162674;-0.083466
421;0.111389;0.092087;-0.004608
422;-0.010910;-0.002686;-0.018555
423;-0.005661;0.011353;0.065811
424;0.037704;0.090881;-0.010361
425;-0.081528;0.045029;-0.045410
426;0.136993;-0.161652;-0.137222
427;0.251373;-0.171753;-0.117340
428;0.290161;0.104614;0.042953
429;-0.187332;0.008087;0.338989
430;-0.304398;-0.017014;-0.045593
431;-0.335876;-0.013733;-0.091232
432;-0.145615;0.078079;-0.003677
433;0.086823;0.020798;0.000076
434;0.077408;-0.109970;0.033539
435;0.084595;-0.030319;0.006363
436;0.058670;0.037125;0.066437
437;-0.050247;-0.012039;0.166199
438;0.002228;-0.097397;0.199860
439;0.115234;-0.390457;0.395782
440;-0.689651;-1.857269;0.927231
441;-0.104065;-3.438446;0.952057
442;0.450912;-3.158005;0.863235
443;-0.922333;-4.941071;1.260223
444;-1.001755;-5.307434;1.174225
445;-0.705078;-5.261520;1.076019
446;-0.677185;-3.496994;1.060898
447;0.163376;-2.215469;0.282867
448;-0.026077;-1.331009;0.092346
449;-0.213913;-0.896042;0.078400
450;-0.009613;-0.600204;0.005081
451;-0.122620;-0.274673;-0.009506
452;-0.038239;0.100006;0.022095
453;0.052414;0.292313;-0.019348
454;-0.039124;0.112778;-0.025208
455;-0.064407;-0.045013;0.037109
456;-0.024521;-0.018036;0.011475
457;0.062149;-0.019302;0.069901
458;0.015869;-0.007706;0.019226
459;0.016342;0.012878;0.028748
460;0.038086;0.057922;-0.014572
461;0.009644;0.041855;-0.024460
462;0.010284;0.051361;0.039520
463;-0.033615;0.006393;0.015045
464;-0.040863;0.044357;0.030869
465;-0.068497;0.134888;0.087173
466;-0.105423;0.166412;0.041534
467;0.006088;0.050659;-0.054413
468;-0.038406;0.036469;-0.039886
469;0.105621;-0.165558;0.031662
470;0.105270;-0.192139;-0.310638
471;0.021240;-0.333221;-0.068970
472;-0.192886;-1.616806;0.023804
473;-0.796585;-3.015732;-0.504913
474;-0.624649;-3.553314;-0.742126
475;-0.957520;-4.620483;-0.636322
